,Title,Genre,Rating,Description,Director,Votes,Gross,Weather,Season
36,The Jungle Book,"Adventure, Drama, Family",7.4,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",Jon Favreau,283058,$364.00M,Rain,Autumn
37,Oldeuboi,"Action, Drama, Mystery",8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-wook,594853,$0.71M,Rain,Autumn
38,It,Horror,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Andy Muschietti,567992,$327.48M,Rain,Autumn
39,Rogue One,"Action, Adventure, Sci-Fi",7.8,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Gareth Edwards,656405,$532.18M,Rain,Autumn
40,Bodies Bodies Bodies,"Comedy, Horror, Thriller",6.2,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",Halina Reijn,49351,0,Rain,Autumn
41,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,Adam McKay,556497,0,Rain,Autumn
42,The Prestige,"Drama, Mystery, Sci-Fi",8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,1361706,$53.09M,Rain,Autumn
43,Shutter Island,"Mystery, Thriller",8.2,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",Martin Scorsese,1357010,$128.01M,Rain,Autumn
44,The Age of Adaline,"Drama, Fantasy, Romance",7.2,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger,189717,$42.48M,Rain,Autumn
45,American Beauty,Drama,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,1172143,$130.10M,Rain,Spring
46,Blade Runner,"Action, Drama, Sci-Fi",8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,786477,$32.87M,Rain,Autumn
47,Apocalypse Now,"Drama, Mystery, War",8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,681059,$83.47M,Rain,Spring
48,True Lies,"Action, Comedy, Thriller",7.3,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",James Cameron,268364,$146.28M,Rain,Spring
49,En man som heter Ove,"Comedy, Drama, Romance",7.7,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,62959,$3.48M,Rain,Spring
50,Saving Private Ryan,"Drama, War",8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,1420636,$216.54M,Rain,Autumn
51,Kingsman: The Golden Circle,"Action, Adventure, Comedy",6.7,"After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.",Matthew Vaughn,342307,$100.23M,Rain,Autumn
52,Ford v Ferrari,"Action, Biography, Drama",8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,416288,$117.62M,Rain,Spring
53,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",Michel Gondry,1029459,$34.40M,Rain,Spring
54,The Notebook,"Drama, Romance",7.8,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way.",Nick Cassavetes,587036,$81.00M,Rain,Spring
55,Arrival,"Drama, Mystery, Sci-Fi",7.9,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,Denis Villeneuve,717109,$100.55M,Rain,Autumn
56,The Young Victoria,"Biography, Drama, History",7.2,"A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.",Jean-Marc Vallée,63862,$11.00M,Rain,Spring
57,Bones and All,"Drama, Horror, Romance",6.8,A young woman embarks on a 1000 mile odyssey through America where she meets a disenfranchised drifter. But all roads lead back to their terrifying pasts and to a final stand that will determine whether love can survive their otherness.,Luca Guadagnino,40593,0,Rain,Spring
58,A League of Their Own,"Comedy, Drama, Sport",7.3,Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.,Penny Marshall,114434,$107.53M,Rain,Spring
59,The Lobster,"Drama, Romance, Sci-Fi",7.1,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",Yorgos Lanthimos,268973,$8.70M,Rain,Spring
60,The Butterfly Effect,"Drama, Sci-Fi, Thriller",7.6,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Eric Bress,500814,$57.94M,Rain,Autumn
61,A Clockwork Orange,"Crime, Sci-Fi",8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,846488,$6.21M,Rain,Autumn
62,Idi i smotri,"Drama, Thriller, War",8.4,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,85427,0,Rain,Autumn
63,Deadpool,"Action, Comedy",8.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,1065207,$363.07M,Rain,Autumn
64,Ex Machina,"Drama, Sci-Fi, Thriller",7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,Alex Garland,560645,$25.44M,Rain,Spring
65,The Lion King,"Animation, Adventure, Drama",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,1082777,$422.78M,Rain,Autumn
66,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy",6.6,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.",George Lucas,728061,$310.68M,Rain,Autumn
67,Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",Hayao Miyazaki,787478,$10.06M,Rain,Autumn
68,The Black Phone,"Horror, Thriller",6.9,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",Scott Derrickson,165657,$90.12M,Rain,Spring
69,Lolita,"Drama, Romance",6.8,"An English professor falls for a minor, and has to face the consequences of his actions.",Adrian Lyne,62397,$1.40M,Rain,Autumn
70,"Girl, Interrupted","Biography, Drama",7.3,Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the late 1960s.,James Mangold,196970,$28.87M,Rain,Autumn
71,The Accountant,"Action, Thriller",7.3,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",Gavin O'Connor,304306,$86.26M,Rain,Spring
72,Kimi no na wa.,"Animation, Drama, Fantasy",8.4,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai,285185,$5.02M,Rain,Autumn
73,Encanto,"Animation, Comedy, Family",7.2,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,Jared Bush,235672,$96.09M,Rain,Autumn
74,Little Women,"Drama, Romance",7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,218313,$108.10M,Rain,Spring
75,Dracula,"Drama, Fantasy, Horror",7.4,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,Francis Ford Coppola,225133,$82.52M,Rain,Autumn
76,Living,Drama,7.2,"In 1950s London, a humorless bureaucrat decides to take time off work to experience life after receiving a grim diagnosis.",Oliver Hermanus,18348,0,Rain,Spring
77,Road to Perdition,"Crime, Drama, Thriller",7.7,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Sam Mendes,275564,$104.45M,Rain,Autumn
78,Capharnaüm,Drama,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,94817,$1.66M,Rain,Spring
79,Catch Me If You Can,"Biography, Crime, Drama",8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,1018113,$164.62M,Rain,Autumn
80,"Crazy, Stupid, Love.","Comedy, Drama, Romance",7.4,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",Glenn Ficarra,532902,$84.35M,Rain,Autumn
81,Pearl Harbor,"Action, Drama, History",6.2,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,Michael Bay,340414,$198.54M,Rain,Spring
82,Ratatouille,"Animation, Adventure, Comedy",8.1,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,Brad Bird,763898,$206.45M,Rain,Autumn
83,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,645495,$290.01M,Rain,Spring
84,The VVitch: A New-England Folktale,"Drama, Fantasy, Horror",6.9,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",Robert Eggers,275909,$25.14M,Rain,Autumn
85,Psycho,"Horror, Mystery, Thriller",8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,686325,$32.00M,Rain,Autumn
86,Apocalypto,"Action, Adventure, Drama",7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Mel Gibson,319662,$50.87M,Rain,Spring
87,Naruto: Shippûden,"Animation, Action, Adventure",8.7,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",Alexandre Crepet,136417,0,Rain,Autumn
88,Green Book,"Biography, Comedy, Drama",8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,517122,$85.08M,Rain,Autumn
89,Batman Begins,"Action, Crime, Drama",8.2,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,1500330,$206.85M,Rain,Autumn
90,Caddyshack,"Comedy, Sport",7.2,An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,Harold Ramis,122046,$39.85M,Rain,Autumn
91,The Matrix Resurrections,"Action, Sci-Fi",5.7,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",Lana Wachowski,260345,0,Rain,Autumn
92,Sin City,"Crime, Thriller",8.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",Frank Miller,778507,$74.10M,Rain,Spring
93,Basic Instinct,"Drama, Mystery, Thriller",7.0,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,Paul Verhoeven,207702,$117.73M,Rain,Spring
94,Martyrs,Horror,7.0,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",Pascal Laugier,99401,0,Rain,Spring
95,The Amazing Spider-Man,"Action, Adventure, Sci-Fi",6.9,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Marc Webb,671060,$262.03M,Rain,Autumn
96,Once Upon a Time in America,"Crime, Drama",8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,359591,$5.32M,Rain,Autumn
97,White Noise,"Comedy, Drama, Horror",5.7,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.",Noah Baumbach,38376,0,Rain,Spring
98,Charlie and the Chocolate Factory,"Adventure, Comedy, Family",6.7,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Tim Burton,495858,$206.46M,Rain,Autumn
99,Toy Story,"Animation, Adventure, Comedy",8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,1015842,$191.80M,Rain,Autumn
100,Les Misérables,"Drama, Musical, Romance",7.5,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",Tom Hooper,336102,$148.81M,Rain,Autumn
101,Hauru no ugoku shiro,"Animation, Adventure, Family",8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,410497,$4.71M,Rain,Spring
102,The Human Centipede (First Sequence),Horror,4.4,"A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.",Tom Six,82411,$0.18M,Rain,Spring
103,Love Actually,"Comedy, Drama, Romance",7.6,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,502973,$59.70M,Rain,Autumn
104,Watchmen,"Action, Drama, Mystery",7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,562157,$107.51M,Rain,Spring
105,Baby Driver,"Action, Crime, Drama",7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Edgar Wright,564723,$107.83M,Rain,Spring
106,Airport 1975,"Action, Drama, Thriller",5.7,"A 747 in flight collides with a small plane, and is rendered pilotless. Somehow the control tower must get a pilot aboard so the jet can land.",Jack Smight,11084,$47.29M,Rain,Spring
107,The Maze Runner,"Action, Mystery, Sci-Fi",6.8,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",Wes Ball,482638,$102.43M,Rain,Autumn
108,Airplane!,Comedy,7.7,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must land a commercial airplane full of passengers safely.",Jim Abrahams,248096,$83.40M,Rain,Spring
109,Spider-Man 3,"Action, Adventure, Sci-Fi",6.3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Sam Raimi,606368,$336.53M,Rain,Spring
110,Platoon,"Drama, War",8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,422698,$138.53M,Rain,Autumn
111,The Good Nurse,"Biography, Crime, Drama",6.8,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,Tobias Lindholm,68883,0,Rain,Spring
112,About Time,"Comedy, Drama, Fantasy",7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,363623,$15.32M,Rain,Autumn
113,Bohemian Rhapsody,"Biography, Drama, Music",7.9,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer,554858,$216.43M,Rain,Spring
114,Ant-Man,"Action, Comedy, Sci-Fi",7.3,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Peyton Reed,690952,$180.20M,Rain,Autumn
115,Tropic Thunder,"Action, Comedy, War",7.1,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",Ben Stiller,428540,$110.52M,Rain,Autumn
116,The Devil All the Time,"Crime, Drama, Thriller",7.1,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,Antonio Campos,141936,0,Rain,Spring
117,The Princess Diaries,"Comedy, Family, Romance",6.4,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",Garry Marshall,153255,$108.25M,Rain,Autumn
118,Secretary,"Comedy, Drama, Romance",6.9,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",Steven Shainberg,94440,$4.06M,Rain,Spring
119,The Social Network,"Biography, Drama",7.8,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",David Fincher,721829,$96.96M,Rain,Spring
120,Jack Reacher,"Action, Mystery, Thriller",7.0,A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,Christopher McQuarrie,349337,$80.07M,Rain,Autumn
121,Dances with Wolves,"Adventure, Drama, Western",8.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",Kevin Costner,275826,$184.21M,Rain,Spring
122,Unforgiven,"Drama, Western",8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,420190,$101.16M,Rain,Spring
123,Ready Player One,"Action, Adventure, Sci-Fi",7.4,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",Steven Spielberg,452788,$137.69M,Rain,Spring
124,The Revenant,"Action, Adventure, Drama",8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,826225,$183.64M,Rain,Spring
125,The Equalizer 2,"Action, Crime, Thriller",6.7,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",Antoine Fuqua,168811,$102.08M,Rain,Spring
126,Brokeback Mountain,"Drama, Romance",7.7,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,Ang Lee,366977,$83.04M,Rain,Autumn
127,Guillermo del Toro's Pinocchio,"Animation, Drama, Family",7.6,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.",Guillermo del Toro,97900,0,Rain,Autumn
128,A Bug's Life,"Animation, Adventure, Comedy",7.2,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",John Lasseter,301086,$162.80M,Rain,Autumn
129,Unfaithful,"Drama, Romance, Thriller",6.7,A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,Adrian Lyne,92601,$52.80M,Rain,Spring
130,The Wonder,"Drama, Mystery, Thriller",6.6,"A tale of two strangers who transform each other's lives, a psychological thriller, and a story of love pitted against evil.",Sebastián Lelio,36998,0,Rain,Autumn
