,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
1313,Amazing Grace,"Biography, Drama, History",7.4,"The idealist William Wilberforce (Ioan Gruffudd) maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.",Michael Apted,25244,$21.21M,Rain
1314,The Upside of Anger,"Comedy, Drama",6.8,"When her husband unexpectedly disappears, a sharp-witted suburban wife and her daughters juggle their mom's romantic dilemmas and family dynamics.",Mike Binder,22499,$18.76M,Rain
1315,Grizzly,"Adventure, Horror, Thriller",5.2,"An eighteen-foot-tall grizzly bear terrorizes a state park, leaving it up to a Park Ranger to save the day.",William Girdler,5440,,Rain
1316,4 mosche di velluto grigio,"Crime, Mystery, Thriller",6.6,"A musician is stalked by an unknown homicidal maniac, who blackmails him for the accidental killing of another stalker.",Dario Argento,9177,,Rain
1317,Flawless,"Crime, Drama",6.4,An ultraconservative security guard suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons with the drag queen next door.,Joel Schumacher,19266,$4.49M,Rain
1318,Dogman,"Crime, Drama, Thriller",7.2,"A timid dog groomer living in a poor suburb sells cocaine on the side and stays out of trouble, while trying to deal with his unstable, violent acquaintance who is a menace to the whole neighborhood.",Matteo Garrone,28032,$0.15M,Rain
1319,The Tragedy of Macbeth,"Drama, History",7.4,A ruthlessly ambitious Scottish lord seizes the throne with the help of his scheming wife and a trio of witches.,Roman Polanski,14417,,Rain
1320,Justice League: Doom,"Animation, Action, Fantasy",7.4,"Vandal Savage steals confidential files Batman has compiled on the members of the Justice League, and learns all their weaknesses.",Lauren Montgomery,35518,,Rain
1321,Curve,"Short, Horror, Thriller",6.8,"Clinging to a smooth, curved surface high above a sentient abyss, a girl tries to cover the few feet back to safety without losing purchase and falling to her death.",Tim Egan,1054,,Rain
1322,Irma la Douce,"Comedy, Romance",7.3,"When a policeman falls in love with a prostitute, he doesn't want her seeing other men and creates an alter ego who's to be her only customer.",Billy Wilder,20157,$25.25M,Rain
1323,Open 24 Hours,Horror,5.5,"After setting her serial killer boyfriend on fire, a paranoid delusional woman gets a job at an all-night gas station.",Padraig Reynolds,4161,,Rain
1324,Powder Blue,Drama,6.2,"Four Los Angelenos, a mortician, an ex-con, a suicidal ex-priest, and a stripper, are brought together on Christmas Eve by a mixture of circumstances.",Timothy Linh Bui,15042,,Rain
1325,Psycho IV: The Beginning,"Horror, Mystery, Thriller",5.4,Norman Bates recalls his childhood with his abusive mother while fearing his unborn child will inherit his split personality disorder.,Mick Garris,9020,,Rain
1326,BMX Bandits,"Action, Crime, Drama",5.5,A trio of teen BMX enthusiasts become entangled with a group of bank robbers after discovering their cache of walkie-talkies.,Brian Trenchard-Smith,5746,,Rain
1327,Middle Men,"Comedy, Crime, Drama",6.8,"Chronicles Jack Harris, one of the pioneers of Internet commerce, as he wrestles with his morals and struggles not to drown in a sea of con men, mobsters, drug addicts, and porn stars.",George Gallo,37992,$0.72M,Rain
1328,Smokin' Aces 2: Assassins' Ball,"Action, Comedy, Crime",5.0,Hords of insane assassins (2 cute) gather in or near a bar waiting to kill an insignificant FBI pencil pusher at 3AM and collect $3M. He's kept in a safe house/bunker nearby surrounded by FBI agents. Action awaits.,P.J. Pesce,13985,,Rain
1329,The Journey of Natty Gann,"Adventure, Family",7.0,"In the 1930s, a tomboy runs away from her guardian to join her single father who is 2,000 miles away, where he has found work.",Jeremy Kagan,6474,$2.14M,Rain
1330,French Exit,"Comedy, Drama",5.9,An aging Manhattan socialite existing on the last of her inheritance moves to a small Paris apartment with her son and cat.,Azazel Jacobs,7996,,Rain
1331,The Guardian,"Drama, Fantasy, Horror",5.3,A young couple with a newborn baby don't realize that the nanny they hired is a magical nymph who sacrifices infants to an evil tree.,William Friedkin,5976,$17.04M,Rain
1332,Sikeurit Gadeun,"Comedy, Drama, Fantasy",8.1,"A rich young CEO falls for a poor stuntwoman despite class differences, cultural traditions and the man's firmly objecting mother.",Ha Ji-Won,7124,,Rain
1333,The Champ,"Drama, Sport",6.8,"Billy Flynn is an ex-champion boxer who was KO'd by booze and gambling. When the wealthy, estranged mother of his young son begins trying to lure the boy away from him, Flynn must return to the ring to provide for his child.",Franco Zeffirelli,8916,$30.44M,Rain
1334,The Picture of Dorian Gray,"Drama, Fantasy, Horror",7.5,"A corrupt young man somehow keeps his youthful beauty, but a special painting gradually reveals his inner ugliness to all.",Albert Lewin,13770,,Rain
1335,Bright Star,"Biography, Drama, Romance",6.9,The three-year romance between 19th-century poet John Keats and Fanny Brawne near the end of his life.,Jane Campion,28063,$4.44M,Rain
1336,Love in the Time of Cholera,"Drama, Romance",6.4,"Florentino, rejected by the beautiful Fermina at a young age, devotes much of his adult life to carnal affairs as a desperate attempt to heal his broken heart.",Mike Newell,23668,$4.61M,Rain
1337,Délicieux,"Comedy, Drama, History",7.0,"France, 1789, just before the Revolution. With the help of a surprising young woman, a chef who has been sacked by his noble master finds the strength to free himself from his position as a servant and opens the first ever restaurant.",Éric Besnard,4234,,Rain
1338,Da hong denglong gaogao gua,"Drama, Romance",8.1,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Yimou Zhang,33881,$2.60M,Rain
1339,Hideaway,"Fantasy, Horror, Thriller",5.3,"Hatch gets a special resuscitative medicine after ""dying"" in a car accident. His wife and daughter only get minor injuries. He gets strange nightmares such as killing a teen girl. Is it just dreams?",Brett Leonard,7154,$12.20M,Rain
1340,The Frisco Kid,"Adventure, Comedy, Drama",6.3,"A Polish rabbi wanders through the Old West on his way to lead a synagogue in San Francisco. On the way, he is nearly burned at the stake by Native Americans and almost killed by outlaws.",Robert Aldrich,11058,$9.35M,Rain
1341,Ned Kelly,"Action, Adventure, Biography",6.4,An innocent man becomes one of the most wanted criminals the world has ever known.,Gregor Jordan,27545,$0.07M,Rain
1342,Zatôichi,"Action, Comedy, Crime",7.5,"The blind masseur/swordsman comes to a town in control of warring gangs, and while bunking with a farming family, he meets two women with their own agenda.",Takeshi Kitano,50482,$0.85M,Rain
1343,The Dangerous Lives of Altar Boys,"Comedy, Drama",6.9,"A group of Catholic school friends, after being caught drawing an obscene comic book, plan a heist that will outdo their previous prank and make them local legends.",Peter Care,13952,$1.78M,Rain
1344,Infamous,"Biography, Crime, Drama",7.1,"While researching his novel ""In Cold Blood"", Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith.",Douglas McGrath,17735,$1.15M,Rain
1345,Ratcatcher,Drama,7.5,A naïve young lad navigates the dirty squalid streets of 1973 Glasgow and the poor youth around him.,Lynne Ramsay,11216,$0.22M,Rain
1346,I Confess,"Crime, Drama, Thriller",7.2,"A priest, who comes under suspicion for murder, cannot clear his name without breaking the seal of the confessional.",Alfred Hitchcock,22061,,Rain
1347,Their Finest,"Comedy, Drama, Romance",6.7,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",Lone Scherfig,20681,$3.60M,Rain
1348,5 to 7,"Comedy, Drama, Romance",7.1,"An aspiring novelist enters into a relationship with a woman, though there's just one catch: She's married and the couple can only meet between the hours of 5 and 7 each evening.",Victor Levin,20753,$0.12M,Rain
1349,The Hero,"Drama, Romance, Western",6.5,An ailing movie star comes to terms with his past and mortality.,Brett Haley,10060,$4.08M,Rain
1350,Dellamorte dellamore,"Comedy, Horror",7.1,A cemetery man must kill the dead a second time when they become zombies.,Michele Soavi,22167,$0.25M,Rain
1351,Gouttes d'eau sur pierres brûlantes,"Comedy, Drama, Romance",6.7,"In 1970s Germany, a 50-year-old businessman falls in love with a 20-year-old man.",François Ozon,6702,$0.09M,Rain
1352,Pride and Glory,"Crime, Drama, Thriller",6.6,"A family's moral codes are tested when Ray Tierney investigates a case that reveals an incendiary police corruption scandal involving his own brother-in-law. For Ray, the truth is revelatory, a Pandora's Box that threatens to upend not only the Tierney legacy but the entire NYPD.",Gavin O'Connor,62120,$15.71M,Rain
1353,Luther,"Biography, Drama, History",6.6,"During the early sixteenth century, idealistic German monk Martin Luther, disgusted by the materialism in the Catholic Church, begins the dialogue that will lead to the Protestant Reformation.",Eric Till,15676,$5.79M,Rain
1354,Gemma Bovery,"Comedy, Drama, Romance",6.4,"After moving to the French countryside with her husband, the British beauty, Gemma Bovery, draws the attention of a local baker, who finds in the moving couple a resemblance to the heroes of Madame Bovary",Anne Fontaine,6587,$0.19M,Rain
1355,The Interpreter,"Crime, Mystery, Thriller",6.4,"Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot.",Sydney Pollack,109085,$72.71M,Rain
1356,The Sleeping Dictionary,"Drama, Romance",6.5,A young Englishman is sent to Malaysian Borneo in the 1930s to stay with a tribe as UK's colonial representative. A local woman (J.Alba) helps him understand local tradition and language. He falls in love with her etc. despite the taboo.,Guy Jenkin,8908,,Rain
1357,The Boy,"Drama, Horror, Thriller",5.5,An intimate portrait of a 9-year-old sociopath's growing fascination with death.,Craig William Macneill,5589,,Rain
1358,Rawhead Rex,"Fantasy, Horror, Mystery",5.2,An ancient creature called Rawhead is awakened from its slumber near an Irish village and goes on a rampage killing anyone in sight.,George Pavlou,6233,,Rain
1359,Crying Freeman,"Action, Crime, Thriller",6.4,A woman sees an assassin outside San Francisco killing yakuza men and later in Vancouver. She's been told that he leaves no witness. Will she be his next victim or...?,Christophe Gans,13252,,Rain
1360,Hellraiser: Inferno,"Crime, Horror, Mystery",5.4,"A shady police detective becomes embroiled in a strange world of murder, sadism and madness after being assigned a murder investigation against a madman known only as ""The Engineer"".",Scott Derrickson,18171,,Rain
1361,Jennifer Eight,"Crime, Drama, Mystery",6.3,"John Berlin, a former Los Angeles homicide detective, investigates a multiple murder case in San Diego. The only witness is a blind girl to whom he is immediately attracted.",Bruce Robinson,17694,$11.39M,Rain
1362,Inrang,"Action, Drama, Sci-Fi",5.9,"Set in the distant future where both North and South Koreas agree to establish a joint government, which has been in preparation for a duration of 7 years, the plot focuses on political ...                See full summary »",Jee-woon Kim,5519,,Rain
1363,Tomboy,Drama,7.4,"A family moves into a new neighborhood, and a 10-year-old named Laure deliberately presents as a boy named Mikhael to the neighborhood children.",Céline Sciamma,21473,$0.13M,Rain
1364,All My Life,"Drama, Romance",6.3,A couple's wedding plans are thrown off course when the groom is diagnosed with liver cancer.,Marc Meyers,5341,,Rain
1365,King Kong Lives,"Action, Adventure",3.9,"Kong falls from the twin towers and he appears to be alive. However, his heart is failing, so it's replaced with an artificial one. All is well until he senses that there's a female Kong somewhere out there and escapes wreaking havoc.",John Guillermin,6402,$4.71M,Rain
1366,Hard Rain,"Action, Crime, Drama",5.9,The partner and nephew of an armored-truck driver tries to prevent three million dollars from being taken by a gang during a catastrophic flooding caused by a severe storm.,Mikael Salomon,36327,$19.82M,Rain
1367,Fantasia 2000,"Animation, Family, Fantasy",7.1,An update of the original film with new interpretations of great works of classical music.,James Algar,39849,$60.66M,Rain
1368,The End of the Affair,"Drama, Romance",7.0,A desperate man tries to find out why his beloved left him years ago.,Neil Jordan,23383,$10.66M,Rain
1369,Birthday Girl,"Comedy, Crime, Thriller",6.0,A thirtysomething bank clerk from St Albans has his small-town life exploded by the arrival of his Russian mail-order bride.,Jez Butterworth,25919,$4.92M,Rain
1370,The Sea Shall Not Have Them,"Drama, War",6.3,"In the North Sea in 1944, passengers of a downed Royal Air Force transport aircraft talk about their lives while awaiting rescue in their dinghy.",Lewis Gilbert,668,,Rain
1371,Revanche,"Crime, Drama, Romance",7.5,Ex-con Alex plans to flee to the South with his girl after a robbery. But something terrible happens and revenge seems inevitable.,Götz Spielmann,15191,,Rain
1372,Boze Cialo,Drama,7.7,"Daniel experiences a spiritual transformation in a detention center. Although his criminal record prevents him from applying to the seminary, he has no intention of giving up his dream and decides to minister a small-town parish.",Jan Komasa,20201,,Rain
1373,Annapolis,"Drama, Romance, Sport",5.8,"Set against the backdrop of boxing at the Naval Academy, centers on a young man from the wrong side of the tracks whose dream of attending Annapolis becomes a reality.",Justin Lin,21542,$17.13M,Rain
1374,If Anything Happens I Love You,"Animation, Short, Comedy",7.8,"In the aftermath of tragedy, two grieving parents journey through an emotional void as they mourn the loss of a child.",Michael Govier,18647,,Rain
1375,Latter Days,"Comedy, Drama, Romance",7.0,"A promiscuous gay party animal falls for a young Mormon missionary, leading to crisis, cliché, and catastrophe.",C. Jay Cox,18097,$0.82M,Rain
1376,Rampart,"Crime, Drama",5.8,"Set in 1999 Los Angeles, veteran police officer Dave Brown, the last of the renegade cops, works to take care of his family, and struggles for his own survival.",Oren Moverman,24647,$0.97M,Rain
1377,The Little Stranger,"Drama, Horror, Mystery",5.5,"After a doctor is called to visit a crumbling manor, strange things begin to occur.",Lenny Abrahamson,10322,$0.71M,Rain
1378,House of the Long Shadows,"Comedy, Horror, Mystery",6.2,An American author finds a dilapidated Welsh manor perfect for writing until the residents host a bizarre family reunion.,Pete Walker,4122,,Rain
1379,Baby Doll,"Comedy, Drama",7.3,An immature child bride holds her anxious husband at bay while flirting with an amorous Sicilian farmer.,Elia Kazan,7977,,Rain
1380,Death and the Maiden,"Drama, Mystery, Thriller",7.2,A political activist is convinced that her guest is a man who once tortured her for the government.,Roman Polanski,25743,$2.10M,Rain
1381,I Was a Male War Bride,"Comedy, Romance, War",7.0,"After marrying an American lieutenant with whom he was assigned to work in post-war Germany, a French captain attempts to find a way to accompany her back to the States under the terms of the War Bride Act.",Howard Hawks,8833,,Rain
1382,Mysterious Island,"Adventure, Family, Fantasy",6.7,During the Civil War a group of Union soldiers and two Confederates escape the stockade using a hot-air balloon and end up on a strange Pacific island.,Cy Endfield,8002,,Rain
1383,Lucifer,"Action, Crime, Drama",7.5,"A political Godfather dies and a lot of thieves dressed up as politicians took over the rule. Question arises regarding the successor of the God, unfolding few names, along with the God's most beloved angel, Lucifer.",Prithviraj Sukumaran,11765,,Rain
1384,Rang De Basanti,"Comedy, Crime, Drama",8.1,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,120387,$2.20M,Rain
1385,Man on Wire,"Documentary, Biography, Crime",7.7,"A look at tightrope walker Philippe Petit's daring, but illegal, high-wire routine performed between New York City's World Trade Center's twin towers in 1974, what some consider, ""the artistic crime of the century"".",James Marsh,57212,$2.96M,Rain
1386,Jag är nyfiken - En film i gult,"Drama, Romance",6.0,"Told in a quasi-documentary style, this companion piece to Jag är nyfiken - En film i blått (1968) deals with topics such as class society, non-violent resistance, sex, relationships, and tourism to Francoist Spain.",Vilgot Sjöman,4180,$20.24M,Rain
1387,Higurashi no naku koro ni,"Animation, Drama, Horror",7.9,The story of a group of young friends and the mysterious events that occur in the rural village of Hinamizawa.,Sôichirô Hoshi,6061,,Rain
1388,Clifford,Comedy,5.4,"A bratty 10-year-old boy is obsessed with visiting a dinosaur-themed amusement park. His uptight uncle takes the wily tyke in for a week, and barely lives to regret it.",Paul Flaherty,8070,$7.41M,Rain
1389,Salmon Fishing in the Yemen,"Comedy, Drama, Romance",6.8,A fisheries expert is approached by a consultant to help realize a sheik's vision of bringing the sport of fly-fishing to the desert and embarks on an upstream journey of faith and fish to prove the impossible possible.,Lasse Hallström,65899,$9.03M,Rain
1390,A Journal for Jordan,"Drama, Romance, War",5.9,"1st Sgt. Charles Monroe King, before he is killed in action in Baghdad, authors a journal for his son intended to tell him how to live a decent life despite growing up without a father.",Denzel Washington,2385,,Rain
1391,Evangelion Shin Gekijôban: Jo,"Animation, Action, Drama",7.6,The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?,Masayuki,25654,$0.11M,Rain
1392,The Disappearance of Eleanor Rigby: Them,"Drama, Romance",6.3,One couple's story as they try to reclaim the life and love they once knew and pick up the pieces of a past that may be too far gone.,Ned Benson,12760,$0.59M,Rain
1393,The Hunter's Prayer,"Action, Thriller",5.5,An assassin helps a young woman avenge the death of her family.,Jonathan Mostow,9991,,Rain
1394,El guardián invisible,"Crime, Thriller",6.4,A female inspector confronts a serial killer while dealing with the ghosts of her past.,Fernando González Molina,16737,,Rain
1395,The Quiet Earth,"Drama, Mystery, Sci-Fi",6.7,"A man named Zac Hobson awakens to find himself alone in the world. In a desperate attempt to search for others, he finds only two who have their own agenda.",Geoff Murphy,26738,$2.12M,Rain
1396,[Rec]³: Génesis,"Horror, Thriller",5.0,A couple's wedding day turns horrific as some of the guests start showing signs of a strange illness.,Paco Plaza,36637,$0.01M,Rain
1397,If Only,"Comedy, Drama, Fantasy",7.0,It takes a tragedy to teach the young businessman Ian to put love ahead of work and open up to his musician girlfriend Samantha.,Gil Junger,33095,,Rain
1398,The Theory of Flight,"Comedy, Drama, Romance",6.6,"Two miserable people find happiness together: a man dreaming of flying, and a woman dreaming of living.",Paul Greengrass,2684,$0.07M,Rain
1399,Soldier's Girl,"Biography, Crime, Drama",7.8,The true story of the price a young soldier paid for falling in love with a transsexual night-club performer.,Frank Pierson,7052,,Rain
1400,Liteul poleseuteu,Drama,7.2,A young woman grows tired of life in the city and returns to her hometown in the countryside.,Soon-rye Yim,3326,,Rain
1401,Le violon rouge,"Drama, Music, Mystery",7.6,"A red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner.",François Girard,33724,$9.47M,Rain
1402,The Silencers,"Action, Adventure, Comedy",5.9,Retired agent Matt Helm is re-activated in order to stop an evil organization from exploding an atom bomb over the USA and starting WWIII.,Phil Karlson,3527,,Rain
1403,Bird on a Wire,"Action, Comedy",6.0,An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.,John Badham,46031,$70.98M,Rain
1404,Wildcats,"Comedy, Sport",6.0,A rookie high school football coach has a harder time than she expected trying to whip her tough inner city team into shape.,Michael Ritchie,14166,$26.29M,Rain
1405,Little Ashes,"Biography, Drama, History",6.4,"About the young life and loves of artist Salvador Dalí, filmmaker Luis Buñuel and writer Federico García Lorca.",Paul Morrison,9423,$0.48M,Rain
1406,Swing Shift,"Drama, Romance, War",5.9,A woman finds romance when she takes a job at an aircraft plant to help make ends meet after her husband goes off to war.,Jonathan Demme,5120,$6.65M,Rain
1407,A United Kingdom,"Biography, Drama, History",6.9,"The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.",Amma Asante,16575,$3.90M,Rain
1408,Onibaba,"Drama, Horror, Thriller",7.9,"Two women kill samurai and sell their belongings for a living. While one of them is having an affair with their neighbor, the other woman meets a mysterious samurai wearing a bizarre mask.",Kaneto Shindô,20067,,Rain
1409,The Shipping News,Drama,6.7,An emotionally beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,Lasse Hallström,33437,$11.43M,Rain
1410,Snow White: A Tale of Terror,"Adventure, Fantasy, Horror",6.1,"In this dark take on the fairy tale, the growing hatred of a noblewoman, secretly a practitioner of the dark arts, for her stepdaughter, and the witch's horrifying attempts to kill her.",Michael Cohn,11001,,Rain
1411,La isla mínima,"Action, Crime, Mystery",7.2,Two cops lost in the deep south of Spain. One serial killer to catch. A lot of secrets and lies to disclose.,Alberto Rodríguez,34992,,Rain
1412,Monte Walsh,"Drama, Western",7.0,"An aging cowboy realizes that the West he knew and loved will soon be no more--and that there will be no room for him, either.",William A. Fraker,2896,,Rain
1413,El abrazo de la serpiente,"Adventure, Biography, Drama",7.8,"The story of the relationship between Karamakate, an Amazonian shaman and last survivor of his people, and two scientists who work together over the course of forty years to search the Amazon for a sacred healing plant.",Ciro Guerra,23601,$1.33M,Rain
1414,Envy,Comedy,4.8,A man becomes increasingly jealous of his friend's newfound success.,Barry Levinson,31658,$12.18M,Rain
1415,The Ninth Configuration,"Comedy, Drama, Horror",6.8,A former marine arrives at a mental asylum housed in a remote castle to run it. There he attempts to rehabilitate the patients by letting them act out their craziest fantasies and desires.,William Peter Blatty,8257,,Rain
1416,Go!,"Family, Sport",5.9,A thrilling family film about a boy who must overcome tremendous odds and his own recklessness to achieve his dream of winning the National Go Kart Championship.,Owen Trevor,3288,,Rain
1417,Pilgrimage,"Action, Drama, History",5.9,"In 13th-century Ireland, a group of monks must escort a sacred relic across a landscape fraught with peril.",Brendan Muldowney,6104,,Rain
1418,The Visitor,Drama,7.6,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Tom McCarthy,43791,$9.42M,Rain
1419,North Sea Hijack,"Action, Adventure, Thriller",6.3,"When terrorists take over two oil rigs, and threaten to blow them up if their demands are not met, an eccentric anti-terrorism expert volunteers his unique commando unit to stop them.",Andrew V. McLaglen,5483,,Rain
1420,Raising Cain,"Crime, Drama, Horror",6.1,"The oncologist wife of a prominent child psychologist suspects her husband has an unhealthy scientific obsession with their child, unaware of what - or who - is really going on inside his head.",Brian De Palma,16726,$21.37M,Rain
1421,Welcome to the Punch,"Action, Crime, Thriller",6.1,"When a notorious criminal is forced to return to London, it gives a detective one last chance to take down the man he's always been after.",Eran Creevy,33985,$0.01M,Rain
1422,The Cincinnati Kid,Drama,7.2,An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,Norman Jewison,17358,$15.26M,Rain
1423,The Two Faces of January,"Romance, Thriller",6.2,"A thriller centered on a con artist, his wife, and a stranger who flee Athens after one of them is caught up in the death of a private detective.",Hossein Amini,32677,$0.51M,Rain
1424,Sweet Bird of Youth,"Drama, Romance",7.2,"A drifter and a faded film star, both traumatized by Hollywood, arrive to the guy's hometown, where the old bitter memories revive again.",Richard Brooks,8094,,Rain
1425,Wong Gok ka moon,"Crime, Drama, Romance",7.0,"Mid-level gangster Wah falls in love with his beautiful cousin, but must also continue to protect his volatile partner-in-crime and friend, Fly.",Kar-Wai Wong,11565,$0.01M,Rain
1426,Teaching Mrs. Tingle,"Comedy, Thriller",5.3,"The story of a girl who is willing to do anything to become Valedictorian, even if it means murdering the teacher that stands in her way.",Kevin Williamson,21189,$8.95M,Rain
1427,My Dog Skip,"Comedy, Drama, Family",7.0,"A shy boy grows up in 1940s Mississippi with the help of his beloved dog, Skip.",Jay Russell,20921,$34.10M,Rain
1428,Herutâ sukerutâ,"Crime, Drama, Horror",6.4,"Top star Lilico undergoes multiple cosmetic surgeries to her entire body. As her surgeries show side effect, Lilico makes the lives of those around her miserable as she tries to deal with her career and her personal problems.",Mika Ninagawa,2955,,Rain
1429,Cruel Intentions 3,Drama,4.6,"Two guys at a college prep school make wagers on seducing naive young girls, and then meet their match when they agree to see which one can seduce the most popular and devious girl who has her own agenda to everything.",Scott Ziehl,8471,,Rain
1430,For Your Consideration,Comedy,6.3,"Three actors learn that their respective performances in the film ""Home for Purim,"" a drama set in the mid-1940s American South, are generating award-season buzz.",Christopher Guest,15487,$5.54M,Rain
1431,The Naked Spur,"Drama, Thriller, Western",7.3,A bounty hunter trying to bring a murderer to justice is forced to accept the help of two less-than-trustworthy strangers.,Anthony Mann,11944,,Rain
1432,Viharsarok,"Drama, Romance, Sport",6.9,"Szabolcs quits football against his father's will and returns to his country in Hungary to take charge of an inheritance from his grandfather. There, he meets Aron and they both explore their identities.",Ádám Császi,4414,,Rain
1433,The Quiet American,"Drama, Romance, Thriller",7.0,An old British reporter vies with a young U.S. doctor for the affections of a beautiful Vietnamese woman.,Phillip Noyce,29039,$12.99M,Rain
1434,L.I.E.,"Crime, Drama",7.1,"A 15-year-old Long Island boy loses everything and everyone he knows, soon becoming involved in a relationship with a much older man.",Michael Cuesta,10236,$1.14M,Rain
1435,The Children Act,Drama,6.7,"As her marriage crumbles, a judge must decide a case involving a teenage boy who is refusing a blood transfusion on religious principle.",Richard Eyre,14144,$0.51M,Rain
1436,What Just Happened,"Comedy, Drama",5.6,Two weeks in the life of a fading Hollywood producer who's having a rough time trying to get his new picture made.,Barry Levinson,28038,$1.09M,Rain
1437,This Property Is Condemned,"Drama, Romance",7.0,"The dramatic love story of small-town Mississippi girl Alva Starr and railroad official Owen Legate, set during the Great Depression.",Sydney Pollack,6053,,Rain
1438,The Pawnbroker,Drama,7.7,"A Jewish pawnbroker, victim of Nazi persecution, loses all faith in his fellow man until he realizes too late the tragedy of his actions.",Sidney Lumet,10049,,Rain
1439,Wendy and Lucy,Drama,7.1,"Over the summer, a series of unfortunate happening triggers a financial crisis for a young woman and she soon finds her life falling apart.",Kelly Reichardt,18967,$0.86M,Rain
1440,Le passé,"Drama, Mystery",7.7,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",Asghar Farhadi,49809,$1.33M,Rain
1441,Rock Dog,"Animation, Adventure, Comedy",5.9,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",Ash Brannon,5715,$9.40M,Rain
1442,My Husband's Killer Girlfriend,Thriller,5.8,"When a mother discovers that the nanny who framed her for child neglect is her ex-husband's new girlfriend, she goes on the run to prove her innocence and expose the real culprit.",Troy Scott,233,,Rain
1443,Vozvrashchenie,Drama,7.9,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Andrey Zvyagintsev,46357,$0.50M,Rain
1444,Fair Game,"Biography, Drama, Thriller",6.8,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,Doug Liman,50110,$9.53M,Rain
1445,À nos amours,"Drama, Romance",7.1,An erratic young woman's family desperately tries to prevent her increasingly erotic ways.,Maurice Pialat,6928,,Rain
1446,Koirat eivät käytä housuja,"Drama, Romance",6.8,"Juha has lost his wife in a drowning accident. Years after he still feels numb and unable to connect with people. Meeting Mona, a dominatrix, changes everything.",J.-P. Valkeapää,6297,,Rain
1447,When the Wind Blows,"Animation, Drama, War",7.7,A naive elderly British rural couple survive the initial onslaught of a nuclear war.,Jimmy T. Murakami,11734,$0.01M,Rain
1448,Ain't Them Bodies Saints,"Crime, Drama, Romance",6.4,The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met.,David Lowery,22285,$0.39M,Rain
1449,Goliyon Ki Rasleela Ram-Leela,"Drama, Musical, Romance",6.4,"Modern adaptation of William Shakespeare's 'Romeo and Juliet' with an Indian twist, the film focuses on the story of Ram and Leela, their love, lust and the drama afterwards.",Sanjay Leela Bhansali,21436,$2.67M,Rain
1450,Anoche soñé contigo,"Comedy, Romance",5.8,"It's summer break, so Toto (Altomaro) and Quique (Mora) can dream their life away by biking around their neighbourhood and spying on Quique's maid, Chabelita (Aguirre). When Toto's young ...                See full summary »",Marisa Sistach,414,,Rain
1451,Mersal,"Action, Thriller",7.5,"A police officer arrests a doctor for crimes targeting medical professionals but later finds the real culprit in a tale of revenge, corruption and magic.",Atlee,36157,,Rain
1452,Necessary Roughness,"Comedy, Sport",6.2,"Due to NCAA sanctions, the Texas State University Fightin' Armadillos must form a football team from their actual student body, with no scholarships to help, to play their football schedule.",Stan Dragoti,12528,$26.26M,Rain
1453,Life on the Line,"Action, Thriller",5.2,A crew of men who do the high-wire work of fixing the electrical grid are hit by a sudden deadly storm.,David Hackl,5866,,Rain
1454,Om Shanti Om,"Action, Comedy, Drama",6.7,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",Farah Khan,46123,$3.60M,Rain
1455,Next of Kin,"Horror, Mystery",6.2,"In a rest home for elderly people, a daughter reads her mother's diary. Soon events that are mentioned in the mother's diary begin to happen to the daughter.",Tony Williams,3803,,Rain
