,Weather,Track Name,Artist,Album,Image,Popularity,Season
42,Fog,hoax,Taylor Swift,folklore,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,70,Spring
43,Fog,Dance with Me,beabadoobee,Patched Up,https://i.scdn.co/image/ab67616d0000b273fe11583497b2a332995b88ed,65,Autumn
44,Fog,"From Me, the Moon",Lav,"From Me, the Moon",https://i.scdn.co/image/ab67616d0000b27302a5c6e75b6faf29c867d79c,55,Spring
45,Fog,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,EP I.,https://i.scdn.co/image/ab67616d0000b273b8a737ba46a47867b2bb1d96,72,Autumn
46,Fog,Talking Slow,Dylan Jordan,Talking Slow,https://i.scdn.co/image/ab67616d0000b273f7940e90891f45636102d041,0,Spring
47,Fog,Young & Dumb,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b27394d280f0006107be47bb4fe7,60,Autumn
48,Fog,Places We Won't Walk,Bruno Major,A Song For Every Moon,https://i.scdn.co/image/ab67616d0000b273e6dfaed2104e0512b7f22256,2,Autumn
49,Fog,Truly,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a,59,Autumn
50,Fog,Sunsetz,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a,79,Spring
51,Fog,The Wisp Sings,Winter Aid,The Wisp Sings,https://i.scdn.co/image/ab67616d0000b273230776e5998aea86773191d0,71,Autumn
52,Fog,Visions of Gideon,Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2730db3901606954f424070ff01,68,Spring
53,Fog,The Moon Song,beabadoobee,The Moon Song,https://i.scdn.co/image/ab67616d0000b273f12c7a6a377a99c42a37db65,66,Spring
54,Fog,Coffee Cups and Cigarettes,Tomo,Coffee Cups and Cigarettes,https://i.scdn.co/image/ab67616d0000b273c208b3d938928b0bdc9e990e,0,Spring
55,Fog,dancing under the stars,Taylortot,dancing under the stars,https://i.scdn.co/image/ab67616d0000b2732764de71d720337806e2608b,18,Spring
56,Fog,In This Shirt,The Irrepressibles,From the Circus to the Sea,https://i.scdn.co/image/ab67616d0000b273152d23038347332ae32a200e,3,Spring
57,Fog,Only,RY X,Dawn,https://i.scdn.co/image/ab67616d0000b273451ca5fbf400e7e1ffc4c1d9,70,Autumn
58,Fog,Fallingforyou,The 1975,The 1975 (Deluxe),https://i.scdn.co/image/ab67616d0000b273592889d4d323785856f18770,67,Spring
59,Fog,Quit (feat. Ariana Grande),Cashmere Cat,9,https://i.scdn.co/image/ab67616d0000b273747de7362e80274878719786,66,Spring
60,Fog,Someone To Stay,Vancouver Sleep Clinic,Revival,https://i.scdn.co/image/ab67616d0000b273dabc6fe9dd3454884cf65071,76,Autumn
61,Fog,Heavenly,Cigarettes After Sex,Cry,https://i.scdn.co/image/ab67616d0000b273b0d93d82c831a2655e32762e,72,Spring
62,Fog,Flash,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b27394d280f0006107be47bb4fe7,60,Autumn
63,Fog,Each Time You Fall in Love,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b27394d280f0006107be47bb4fe7,66,Spring
64,Fog,Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",https://i.scdn.co/image/ab67616d0000b273206517a3f7e4c34bf0bfc531,76,Autumn
65,Fog,Stuck on the puzzle,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,https://i.scdn.co/image/ab67616d0000b273672951d44a35cb08092f2c1f,65,Spring
66,Fog,Affection,Cigarettes After Sex,Affection,https://i.scdn.co/image/ab67616d0000b27308651acf98d37216efe300c9,66,Autumn
67,Fog,Keep on Loving You,Cigarettes After Sex,Affection,https://i.scdn.co/image/ab67616d0000b27308651acf98d37216efe300c9,67,Spring
